test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
37,18,0,0,2228,2379
37,52,226,174,2228,2379
37,83,0,91,2228,2379
37,45,0,46,2228,2379
37,46,0,0,2228,2379
37,47,145,98,2228,2379
37,98,0,0,2228,2379
38,16,125,109,875,4750
38,88,0,21,875,4750
38,21,0,0,875,4750
38,85,103,18,875,4750
38,18,0,0,875,4750
38,97,109,12,875,4750
38,12,0,0,875,4750
38,92,107,15,875,4750
38,15,0,0,875,4750
38,99,99,0,875,4750
39,13,35,22,672,2598
39,10,0,12,672,2598
39,10,0,2,672,2598
39,2,0,0,672,2598
39,39,194,155,672,2598
39,94,0,61,672,2598
39,10,0,51,672,2598
39,18,0,33,672,2598
39,33,0,0,672,2598
39,47,47,0,672,2598
40,66,147,81,2322,3200
40,73,0,8,2322,3200
40,8,0,0,2322,3200
40,71,186,115,2322,3200
40,61,0,54,2322,3200
40,54,0,0,2322,3200
40,90,179,89,2322,3200
40,49,0,40,2322,3200
40,40,0,0,2322,3200
40,68,68,0,2322,3200
41,49,147,98,938,1842
41,61,0,37,938,1842
41,37,0,0,938,1842
41,74,230,156,938,1842
41,43,0,113,938,1842
41,79,0,34,938,1842
41,28,0,6,938,1842
41,6,0,0,938,1842
41,43,68,25,938,1842
41,25,0,0,938,1842
42,26,70,44,2422,3180
42,44,0,0,2422,3180
42,74,179,105,2422,3180
42,94,0,11,2422,3180
42,11,0,0,2422,3180
42,38,142,104,2422,3180
42,82,0,22,2422,3180
42,22,0,0,2422,3180
42,67,127,60,2422,3180
42,60,0,0,2422,3180
43,10,32,22,741,1912
43,22,0,0,741,1912
43,80,109,29,741,1912
43,14,0,15,741,1912
43,15,0,0,741,1912
43,83,92,9,741,1912
43,9,0,0,741,1912
43,64,194,130,741,1912
43,88,0,42,741,1912
43,42,0,0,741,1912
44,68,163,95,432,1676
44,5,0,90,432,1676
44,32,0,58,432,1676
44,5,0,53,432,1676
44,6,0,47,432,1676
44,31,0,16,432,1676
44,0,0,16,432,1676
44,16,0,0,432,1676
44,94,151,57,432,1676
44,57,0,0,432,1676
45,36,140,104,536,1092
45,46,0,58,536,1092
45,34,0,24,536,1092
45,24,0,0,536,1092
45,63,262,199,536,1092
45,91,0,108,536,1092
45,68,0,40,536,1092
45,40,0,0,536,1092
45,78,81,3,536,1092
45,3,0,0,536,1092
46,71,71,0,96,1908
46,93,93,0,96,1908
46,38,38,0,96,1908
46,36,36,0,96,1908
46,49,61,12,96,1908
46,12,0,0,96,1908
46,40,40,0,96,1908
46,45,45,0,96,1908
46,46,46,0,96,1908
46,55,55,0,96,1908
47,85,231,146,1190,1806
47,44,0,102,1190,1806
47,85,0,17,1190,1806
47,17,0,0,1190,1806
47,99,406,307,1190,1806
47,50,0,257,1190,1806
47,71,0,186,1190,1806
47,64,0,122,1190,1806
47,69,0,53,1190,1806
47,53,0,0,1190,1806
48,78,243,165,1268,1200
48,80,0,85,1268,1200
48,45,0,40,1268,1200
48,40,0,0,1268,1200
48,87,219,132,1268,1200
48,71,0,61,1268,1200
48,61,0,0,1268,1200
48,89,173,84,1268,1200
48,17,0,67,1268,1200
48,67,0,0,1268,1200
49,21,68,47,1626,2245
49,47,0,0,1626,2245
49,48,67,19,1626,2245
49,19,0,0,1626,2245
49,94,181,87,1626,2245
49,60,0,27,1626,2245
49,27,0,0,1626,2245
49,79,170,91,1626,2245
49,91,0,0,1626,2245
49,100,100,0,1626,2245
50,25,167,142,1740,2313
50,54,0,88,1740,2313
50,59,0,29,1740,2313
50,29,0,0,1740,2313
50,56,102,46,1740,2313
50,13,0,33,1740,2313
50,33,0,0,1740,2313
50,100,168,68,1740,2313
50,39,0,29,1740,2313
50,29,0,0,1740,2313
51,77,330,253,1110,1894
51,28,0,225,1110,1894
51,75,0,150,1110,1894
51,88,0,62,1110,1894
51,62,0,0,1110,1894
51,68,254,186,1110,1894
51,70,0,116,1110,1894
51,7,0,109,1110,1894
51,100,0,9,1110,1894
51,9,0,0,1110,1894
52,48,48,0,666,2136
52,60,60,0,666,2136
52,86,86,0,666,2136
52,90,109,19,666,2136
52,16,0,3,666,2136
52,3,0,0,666,2136
52,61,61,0,666,2136
52,75,125,50,666,2136
52,48,0,2,666,2136
52,2,0,0,666,2136
53,84,118,34,3618,3540
53,34,0,0,3618,3540
53,69,214,145,3618,3540
53,96,0,49,3618,3540
53,49,0,0,3618,3540
53,45,58,13,3618,3540
53,13,0,0,3618,3540
53,89,199,110,3618,3540
53,59,0,51,3618,3540
53,51,0,0,3618,3540
54,33,245,212,2289,1755
54,90,0,122,2289,1755
54,71,0,51,2289,1755
54,46,0,5,2289,1755
54,5,0,0,2289,1755
54,72,246,174,2289,1755
54,28,0,146,2289,1755
54,93,0,53,2289,1755
54,53,0,0,2289,1755
54,68,68,0,2289,1755
55,60,69,9,4040,1635
55,9,0,0,4040,1635
55,86,168,82,4040,1635
55,63,0,19,4040,1635
55,19,0,0,4040,1635
55,20,170,150,4040,1635
55,64,0,86,4040,1635
55,48,0,38,4040,1635
55,18,0,20,4040,1635
55,20,0,0,4040,1635
56,53,95,42,1288,2160
56,42,0,0,1288,2160
56,58,98,40,1288,2160
56,40,0,0,1288,2160
56,54,58,4,1288,2160
56,4,0,0,1288,2160
56,83,157,74,1288,2160
56,74,0,0,1288,2160
56,67,91,24,1288,2160
56,24,0,0,1288,2160
57,77,77,0,345,1302
57,57,57,0,345,1302
57,82,82,0,345,1302
57,95,125,30,345,1302
57,30,0,0,345,1302
57,22,61,39,345,1302
57,39,0,0,345,1302
57,93,93,0,345,1302
57,0,0,0,345,1302
57,30,30,0,345,1302
58,51,51,0,230,2541
58,92,108,16,230,2541
58,14,0,2,230,2541
58,2,0,0,230,2541
58,55,55,0,230,2541
58,56,56,0,230,2541
58,76,76,0,230,2541
58,86,86,0,230,2541
58,80,85,5,230,2541
58,5,0,0,230,2541
59,89,170,81,699,1616
59,81,0,0,699,1616
59,0,0,0,699,1616
59,51,52,1,699,1616
59,1,0,0,699,1616
59,82,192,110,699,1616
59,100,0,10,699,1616
59,10,0,0,699,1616
59,91,122,31,699,1616
59,31,0,0,699,1616
60,71,205,134,780,1395
60,91,0,43,780,1395
60,43,0,0,780,1395
60,99,356,257,780,1395
60,86,0,171,780,1395
60,69,0,102,780,1395
60,48,0,54,780,1395
60,35,0,19,780,1395
60,19,0,0,780,1395
60,49,49,0,780,1395
61,64,219,155,422,806
61,85,0,70,422,806
61,70,0,0,422,806
61,76,160,84,422,806
61,29,0,55,422,806
61,10,0,45,422,806
61,34,0,11,422,806
61,10,0,1,422,806
61,0,0,1,422,806
61,1,0,0,422,806
62,78,120,42,982,2223
62,5,0,37,982,2223
62,8,0,29,982,2223
62,29,0,0,982,2223
62,33,190,157,982,2223
62,23,0,134,982,2223
62,57,0,77,982,2223
62,62,0,15,982,2223
62,15,0,0,982,2223
62,72,72,0,982,2223
63,71,171,100,3132,2271
63,100,0,0,3132,2271
63,85,182,97,3132,2271
63,56,0,41,3132,2271
63,13,0,28,3132,2271
63,28,0,0,3132,2271
63,72,224,152,3132,2271
63,86,0,66,3132,2271
63,28,0,38,3132,2271
63,38,0,0,3132,2271
64,24,24,0,12,824
64,93,93,0,12,824
64,66,68,2,12,824
64,2,0,0,12,824
64,22,22,0,12,824
64,56,56,0,12,824
64,31,32,1,12,824
64,1,0,0,12,824
64,20,20,0,12,824
64,76,76,0,12,824
65,97,319,222,2361,1624
65,88,0,134,2361,1624
